"hack_license","medallion","vendor_id","pickup_datetime","dropoff_datetime","trip_distance","trip_time_in_secs","passenger_count"," fare_amount"
"AEEAB153BDE0C9328AD310E0AE0C50B7","BFC7B5658240F0BF73C7FBA5B3B5F338","VTS","2013-05-20 00:00:00","2013-05-20 00:10:00",3.2,600,1,12
"E4EE74263ADA909E3175B2A656D7D316","BF8BB94FEEB5C6D1F499351E960EF92A","VTS","2013-05-20 00:00:00","2013-05-20 00:10:00",2.24,600,1,10
"437F8DAC25396805E38BAA7D63F3F2F8","D7BE8487A5ED42E6A829A642B320EE4B","VTS","2013-05-20 00:00:00","2013-05-20 00:17:00",5.26,1020,5,17.5
"B42E1830F2F15BF9B81FA2A00E1D7606","C1B8772F6103A4C4B3EE6F93F0360688","VTS","2013-05-20 00:00:00","2013-05-20 00:24:00",12.43,1440,6,52
"018B84B770A384B90785D0CBDE32401E","980B554CAEC3E2C077D905EC4A286EE4","VTS","2013-05-20 00:00:00","2013-05-20 00:12:00",7.04,720,2,20.5
"41486244CD1CFE0AE7CB62FDD63D4EF9","FAB5D794DA58398B8716099C3D113F7E","VTS","2013-05-20 00:00:00","2013-05-20 00:09:00",3.56,540,1,12
"7FBDEDA148F281D75DD1022A35C50BBE","4D9B12EA20D314D0A414D7FE1EEE4FE4","VTS","2013-05-20 00:00:00","2013-05-20 00:15:00",2.89,900,1,12.5
"94B3E300AC01991235DCEF433C445BC8","DB18E9E94EB754CF15E66B03852EA17B","VTS","2013-05-20 00:00:00","2013-05-20 00:06:00",1.44,360,1,7
"0A64BD67FC0F6D2010428BBF9F5DDD55","5677EA3E0420306484A3B62BC49F3D8B","VTS","2013-05-20 00:00:00","2013-05-20 00:15:00",4.17,900,3,16
"CA05CF42B9323971F452D931F091ED9C","7EA8306E1A78955BC96230C52332575A","VTS","2013-05-20 00:00:00","2013-05-20 00:17:00",4.51,1020,2,16.5
"604D2DB02786BB98D83FFE8F1941E961","E5264BF2B41FA581408BDFD747234640","VTS","2013-05-20 00:00:00","2013-05-20 00:23:00",11.94,1380,3,34.5
"9581209E2CF6BB2F5C65DADDFC4A71CF","DA228BD6F2DA6D9AEA0DEE5B61380F9C","VTS","2013-05-20 00:00:00","2013-05-20 00:05:00",1.75,300,1,7
"9455CB24EC9202E50F85703E47AE83A0","EB82D71DBA59B7F7CB9A713FDEFB2FDE","VTS","2013-05-20 00:00:00","2013-05-20 00:18:00",10.93,1080,2,31
"44ADEBED5E90D10017373F0480385534","0800254DCA572994B3CBA620624153A8","VTS","2013-05-20 00:00:00","2013-05-20 00:13:00",3.7,780,2,14
"E24AEF2B9E6936A9E21C88EDD61A1DE3","65D4BC6F562DA084C6763DB2245B22CD","VTS","2013-05-20 00:00:00","2013-05-20 00:17:00",9.34,1020,6,27
"F13A13704AE4ADC1C70A71F39858920B","351E1091AB0ADB554152A55BBA66E4ED","VTS","2013-05-20 00:00:00","2013-05-20 00:13:00",5.71,780,1,18.5
"BF24F19FC7C0DA78B240D1DA7740E3EC","67108EDF8123623806A1DAFE8811EE63","VTS","2013-05-20 00:00:00","2013-05-20 00:07:00",1.89,420,1,8.5
"A9A6D8686CFA967F05DC951D43D97541","AC863FB477098FC91AFC8D4F909C84E4","VTS","2013-05-20 00:00:00","2013-05-20 00:04:00",1.21,240,1,5.5
"98F36AF507A7DDDFB5F870345C238318","4F5BFF21FA397E0B48A18BAAFFEBC2DB","VTS","2013-05-20 00:00:00","2013-05-20 00:26:00",10.72,1560,1,32
"1FF4842323AC085DD0682B94B19C18C1","442E7A6E22CD3FBE221E44D28FE4F010","VTS","2013-05-20 00:00:00","2013-05-20 00:07:00",3.44,420,5,11.5
"DF97B5709C24E687D6703A196BA68102","0C4726D4E2AF94BF8FE2D23EFDA20917","VTS","2013-05-20 00:00:00","2013-05-20 00:15:00",8.96,900,1,25
"730992E3C88823C552002108D65614FD","D27A0F1D7A560D03E1D7EE27DE354EBA","VTS","2013-05-20 00:00:00","2013-05-20 00:15:00",3.67,900,6,14.5
"1B30C3BB8B306C4A393C8E7045AE71B4","6B943DA2BDA9D93BBE5D4874F5F4D951","VTS","2013-05-20 00:00:00","2013-05-20 00:09:00",2.45,540,1,10
"14D1DEED060F6B80EC1BE9EF0812F4BB","8D703561DA6CDC7AA1A167E04A9210A7","VTS","2013-05-20 00:00:00","2013-05-20 00:03:00",0.69,180,1,4.5
"9396A87366263E90920D99D10979DB3F","8CE40448888D7ADED44924CC77281937","VTS","2013-05-20 00:00:00","2013-05-20 00:09:00",1.64,540,1,8
"D57E3273719254C16939BB801BF2AB0C","49B8C46F115372D690549B4393A90F74","VTS","2013-05-20 00:00:00","2013-05-20 00:04:00",0.72,240,1,5
"DF3CBEFB1AD136D023A67AB622D70422","CAC1EDFA3030AE06FDE1E572BC5B050C","VTS","2013-05-20 00:00:00","2013-05-20 00:16:00",6.37,960,1,19.5
"0A4C02DA346C5EC6E1317D68FDD6F566","1DFC3445A6990A629C2F80FC902B812F","VTS","2013-05-20 00:00:00","2013-05-20 00:09:00",4.43,540,1,13.5
"F73AA91687B1C2E23D97AA4B7F64D4FF","B341CD110148050E60FA47D6283AFB6B","VTS","2013-05-20 00:00:00","2013-05-20 00:13:00",2.47,780,1,11.5
"A1D3489D39373D830AB52FF55001E926","F8708465712E5AE5F755BD5646AAD1EC","VTS","2013-05-20 00:00:00","2013-05-20 00:05:00",0.83,300,1,6
"8A73F06E0914A0DC1434FA550716CBCD","73A0C178888FDAB55F59FE1A1E640373","VTS","2013-05-20 00:00:00","2013-05-20 00:05:00",1.73,300,5,7
"598E9DA87FA7FC33355ACCE1C4AD3684","F0BC6D487F643F133948F12958855912","VTS","2013-05-20 00:00:00","2013-05-20 00:07:00",1.46,420,4,7
"7A7773666EF6819B94DC97AA47DE1C23","7F1C0563559E2D7AC63EFB1608FF29AD","VTS","2013-05-20 00:00:00","2013-05-20 00:08:00",1.52,480,1,7.5
"8B31C297D9BC4CF40D196ED09124FF8E","1B710A4C8AE2E5E76C2BBA4D0BB396A1","VTS","2013-05-20 00:00:00","2013-05-20 00:10:00",2.67,600,2,11
"2ECD011C908B4E3C5B2D438F9BB59082","43A0C083DE32A06AAF5C23E68D8FCC79","VTS","2013-05-20 00:00:00","2013-05-20 00:12:00",4.69,720,5,14.5
"1BCE010A980ABB8BF457A8608962D85C","4DF0F508772326326DCBAEA86760564C","VTS","2013-05-20 00:00:00","2013-05-20 00:08:00",2.3,480,1,9.5
"34A36B2C5BB64DABF253E0176E346C50","B4ECEF9E360BAA71241937B7B7843C48","VTS","2013-05-20 00:00:00","2013-05-20 00:05:00",0.83,300,1,5.5
"D3E4C3232D755DF000D6353AD63EF6CB","7F3AE0D21D3846759CA20FAAD7BC5F5B","VTS","2013-05-20 00:00:00","2013-05-20 00:08:00",3.03,480,1,10.5
"B6E050153F5E1F4FB954270388C1F5F1","4382E173A0220F454E396D1607457F50","VTS","2013-05-20 00:00:00","2013-05-20 00:05:00",1.31,300,1,6.5
"68E0761F7B986FA601D6C721DC0B220A","603D0E47A28E37D10E7E3D438B04DB06","VTS","2013-05-20 00:00:00","2013-05-20 00:06:00",0.69,360,1,5.5
"C452E86C2802B3EF4741103A36007F86","A586D6957958565CFFE7B08DC5A233E0","VTS","2013-05-20 00:00:00","2013-05-20 00:09:00",2.38,540,1,9.5
"ACD210ECF8978DB039788EC1B6B9429E","8CDC57710E25744AAE9ADE5811B2C896","VTS","2013-05-20 00:00:00","2013-05-20 00:14:00",4.35,840,1,15
"7C0EFF80E98EDF00241D2E32E47E231F","2966685FCDA745411DAF8DE1942B8022","VTS","2013-05-20 00:00:00","2013-05-20 00:06:00",0.12,360,1,6
"592B606A15C9F399EF72482E282120A8","8AE2EBA7A53C1402F9AB0FE38491F4EB","VTS","2013-05-20 00:00:00","2013-05-20 00:10:00",3.6,600,1,12.5
"34B2397EA45C3324A8A6A31DB623FCFC","9DCEF2F854EE4D4090847E0901929F8A","VTS","2013-05-20 00:00:00","2013-05-20 00:01:00",0.43,60,1,3.5
"5396A9EF40DF0C561E9D5D0F3AD7C79D","8AD91402938128BE88812A92F89A76C0","VTS","2013-05-20 00:00:00","2013-05-20 00:17:00",6.12,1020,1,20.5
"6DB16CEC835025E114CCE6E6FD1E1976","33C5CA859B7EB35E11E63A777670DBEB","VTS","2013-05-20 00:00:00","2013-05-20 00:00:00",0.13,0,1,2.5
"DE6F4FF620943D0D8568F35FA2356ACC","49E06386E3DF30FFB6A98D4321874BF0","VTS","2013-05-20 00:00:00","2013-05-20 00:01:00",0.49,60,1,3.5
"76FE35B1343D30A42E02530F9382A3F0","A8F46CBAAF164F60BBE1D00EE1DBA331","VTS","2013-05-20 00:00:00","2013-05-20 00:08:00",1.4,480,1,8
"57022071C2046E511E3678691B317B3F","888051B3BA36E5A63389981E0D15D6B3","VTS","2013-05-20 00:00:00","2013-05-20 00:04:00",0.88,240,1,5
"D557112A5C17002358F920DB9EFF3502","A1436A9F8F71EADB5A927E6E01D58408","VTS","2013-05-20 00:00:00","2013-05-20 00:04:00",0.68,240,1,5
"C132B346E19256E7C5556937ED9AFD02","EC3BBBE6E16C6E3B56E064D961A178BB","VTS","2013-05-20 00:00:00","2013-05-20 00:13:00",4.63,780,2,15.5
"04CE9F46D83EE180DA94EECD49D5CA7C","2FF842560A0D55E0849A07E81FAADDAD","VTS","2013-05-20 00:00:00","2013-05-20 00:11:00",2.69,660,1,10.5
"0B0AA1DDA48D5EC62AE90A8C586C63A9","6B312AC7515CAA651B6B4F5251B26FA5","VTS","2013-05-20 00:00:00","2013-05-20 00:17:00",5.64,1020,6,18.5
