zip,freq,contribution_total,contribution_dem,contribution_rep,contribution_unk,state,latitude,longitude,population,density,avg_home_value,clinton,trump,won
20001,146478,68390680,5471487,825131,61923679,DC,38.9122,-77.0177,46716,6816.2,638531,90.48%,4.07%,dem
22042,92715,4279150,236543,155441,3847773,VA,38.8635,-77.1939,34486,1959.9,492817,49.73%,44.41%,dem
22202,83449,5923502,407471,339700,5103403,VA,38.8565,-77.0592,24913,2250.1,621300,49.73%,44.41%,dem
19130,58891,10376115,624407,30983,9710739,PA,39.9677,-75.1735,27410,7419.3,343703,47.46%,48.18%,rep
10025,46708,8533984,3732696,208319,4555243,NY,40.7975,-73.9683,92805,48594.3,1311902,59.01%,36.52%,dem
10023,46288,21717121,7836149,2089522,11697471,NY,40.7764,-73.9827,62435,48060.9,1285622,59.01%,36.52%,dem
10024,43024,23582427,8291321,2040547,13155741,NY,40.7864,-73.9764,59001,26672.3,1264243,59.01%,36.52%,dem
60064,39109,1867385,469,10350,806329,IL,42.32251,-87.86059,15705,1146.6,72811,55.83%,38.76%,dem
10011,33583,21038071,5103403,359466,15475505,NY,40.7402,-73.9996,50472,29744,1173705,59.01%,36.52%,dem
19103,33477,22938736,15783023,446419,6651819,PA,39.9513,-75.1741,24219,13237.3,488743,47.46%,48.18%,rep
45840,31459,1638377,23766,279619,1313785,OH,41.0449,-83.6457,55820,126.6,132493,43.56%,51.69%,rep
94611,30672,5895179,2248682,330152,3279354,CA,37.8471,-122.2223,39384,1336.6,1117748,61.73%,31.62%,dem
20815,30390,18540823,5535347,722921,12208344,MD,38.978,-77.082,30512,2067,1008000,60.33%,33.91%,dem
19123,29650,1326814,254071,10666,1061498,PA,39.966,-75.151,15681,4086.6,379650,47.46%,48.18%,rep
10036,28747,14604490,1750277,720392,11801447,NY,40.7597,-73.9918,27428,21721.3,1054106,59.01%,36.52%,dem
10017,28700,14879787,2061333,1256930,10784167,NY,40.7517,-73.9707,15801,20189.9,679612,59.01%,36.52%,dem
78249,28339,1511029,90702,87176,1322838,TX,29.5612,-98.6117,59508,1296,192576,43.24%,52.23%,rep
2138,27438,13304713,4912699,80721,8259348,MA,42.38004,-71.13463,38835,5116.3,827743,60.01%,32.81%,dem
20008,25239,13216679,5483824,1012452,6655789,DC,38.9363,-77.0599,29457,3496.9,930094,90.48%,4.07%,dem
20005,25172,92590554,6655570,2067421,83561508,DC,38.9067,-77.0312,13222,11575.2,502549,90.48%,4.07%,dem
7932,24872,1676075,42655,45674,1583746,NJ,40.77704,-74.39287,9899,556.6,652834,54.99%,41.00%,dem
10128,24497,15773761,5725649,1645049,8343932,NY,40.7816,-73.9511,59256,50118.8,1041644,59.01%,36.52%,dem
20009,24462,7997134,3126110,483088,4325524,DC,38.9202,-77.0375,52117,14096.5,569183,90.48%,4.07%,dem
20016,24456,11393894,4112329,1361086,5837776,DC,38.9381,-77.086,34783,2829.2,943037,90.48%,4.07%,dem
20007,24381,15236300,4780672,1397619,8987480,DC,38.9144,-77.074,27562,3455.4,1029926,90.48%,4.07%,dem
10022,23653,89906136,4829249,23647231,61333993,NY,40.7571,-73.9657,31125,28833.9,867526,59.01%,36.52%,dem
10028,23561,17054302,4149531,1767745,11100647,NY,40.7763,-73.9529,47793,55636,1040934,59.01%,36.52%,dem
8540,23415,6062813,1781332,641469,3593431,NJ,40.3633,-74.65568,48968,350.4,623240,54.99%,41.00%,dem
11201,23148,7068728,3017568,180353,3830814,NY,40.694,-73.9903,62823,14028.1,1097060,59.01%,36.52%,dem
20817,22944,9518271,3258653,855045,5330639,MD,38.9896,-77.1538,36681,1007.5,901822,60.33%,33.91%,dem
10003,22621,8491263,3747000,362871,4340791,NY,40.7313,-73.9892,54682,37524.3,1111022,59.01%,36.52%,dem
10021,21850,23721773,4958343,3065920,15599569,NY,40.7685,-73.9588,46215,44214.6,1090221,59.01%,36.52%,dem
11215,21297,3275060,1637381,53914,1555462,NY,40.6669,-73.9828,70156,11270.5,1147499,59.01%,36.52%,dem
77002,21124,10386164,430780,1922181,7771634,TX,29.7594,-95.3594,13571,3222,242272,43.24%,52.23%,rep
10019,20546,56786740,4447818,3127629,49105994,NY,40.7651,-73.9858,43703,23754.2,1213755,59.01%,36.52%,dem
14850,20307,2242120,1281290,57202,891653,NY,42.4406,-76.4966,64484,195.8,239570,59.01%,36.52%,dem
94114,19646,4703052,1992664,66922,2602710,CA,37.7587,-122.433,34754,8428.9,1545112,61.73%,31.62%,dem
20854,19582,30384568,16874912,1375170,12087375,MD,39.0388,-77.1922,49194,567.2,885725,60.33%,33.91%,dem
90049,19134,10689179,3734342,1446046,5472674,CA,34.066,-118.474,36964,912.1,1677528,61.73%,31.62%,dem
92101,18834,2022173,436791,247688,966979,CA,32.7185,-117.1593,39313,3040,549753,61.73%,31.62%,dem
94110,18637,2566780,1440670,40451,1066786,CA,37.7509,-122.4153,74161,11517.2,1295994,61.73%,31.62%,dem
60601,18617,5461171,1506167,511989,3397944,IL,41.88526,-87.62194,14675,11892.3,461927,55.83%,38.76%,dem
20002,18190,4649112,1768339,812405,1944628,DC,38.9024,-76.9901,64895,3852.6,597034,90.48%,4.07%,dem
10013,18115,8912113,2553345,485213,5792076,NY,40.7185,-74.0025,28709,19437.4,3044616,59.01%,36.52%,dem
94705,18062,4300267,2198863,30694,2060149,CA,37.8571,-122.25,13365,1490.8,1243800,61.73%,31.62%,dem
19034,18004,1100781,83842,82212,929021,PA,40.1386,-75.2022,5791,371,465236,47.46%,48.18%,rep
20004,17960,9524719,2914156,1433707,4832368,DC,38.893,-77.0263,1975,1800.2,464388,90.48%,4.07%,dem
60201,17894,3180836,1656931,174090,1328105,IL,42.05662,-87.69735,42296,3524.5,482871,55.83%,38.76%,dem
98103,17778,1994049,750720,45535,1164230,WA,47.6733,-122.3426,51377,3815.7,684040,52.54%,36.83%,dem
22207,17635,10101472,1749956,1825670,6460065,VA,38.9033,-77.1263,33285,1852.9,973234,49.73%,44.41%,dem
90027,17536,1803691,759966,35461,1002242,CA,34.104,-118.2925,44686,2143.2,876226,61.73%,31.62%,dem
20814,17484,6400790,1984102,410610,3944497,MD,39.0003,-77.1022,28930,2094,723290,60.33%,33.91%,dem
22314,17377,10664255,1385442,3310035,5885776,VA,38.806,-77.0529,33926,3010.5,631976,49.73%,44.41%,dem
22101,17363,12634330,2956396,3290768,6298795,VA,38.9326,-77.1706,29296,846.1,1033208,49.73%,44.41%,dem
94025,17034,10425293,3754749,1423375,5205095,CA,37.4396,-122.1864,42788,1306.6,1929951,61.73%,31.62%,dem
10014,16996,11414222,2980583,177685,8195258,NY,40.7339,-74.0054,30738,22447.1,1157920,59.01%,36.52%,dem
80111,16593,2193358,488971,432357,1059875,CO,39.6123,-104.8799,32864,1038.8,579935,48.16%,43.25%,dem
22102,16277,7838751,1564547,1369058,4849487,VA,38.953,-77.2295,24746,810,621786,49.73%,44.41%,dem
10010,16196,28617398,1943340,271578,26376801,NY,40.7375,-73.9813,33730,32205.4,922744,59.01%,36.52%,dem
94941,16188,3544666,1395683,263883,1858770,CA,37.8958,-122.5339,32013,529.3,1435586,61.73%,31.62%,dem
94105,16177,7399725,1425431,803124,5122160,CA,37.7864,-122.3892,9155,6205.8,1196673,61.73%,31.62%,dem
94707,16045,4882169,1713074,56274,3099075,CA,37.8927,-122.2761,11916,2667,1252351,61.73%,31.62%,dem
48103,15958,1648164,757599,78046,741011,MI,42.2794,-83.784,55403,314.8,352819,47.27%,47.50%,rep
20003,15916,16070954,2034444,1391125,12568541,DC,38.8829,-76.9895,31213,4553.3,736157,90.48%,4.07%,dem
8536,15684,584733,57468,4450,520203,NJ,40.33428,-74.58234,19793,1061.3,409272,54.99%,41.00%,dem
30338,15641,798779,86754,99622,265918,GA,33.9669,-84.3249,35435,1322.6,436843,45.64%,50.77%,rep
60611,15639,28818713,3006864,3289669,22388985,IL,41.89472,-87.61938,32426,13562.3,462360,55.83%,38.76%,dem
20816,15613,5467284,2038725,354405,3038386,MD,38.9585,-77.1153,16367,1791,941415,60.33%,33.91%,dem
77056,15540,6716864,346910,1361406,4962801,TX,29.7446,-95.4683,21807,2084.3,594880,43.24%,52.23%,rep
94301,15217,19027339,3497020,1451750,14021450,CA,37.4443,-122.1497,17191,2767.2,2950641,61.73%,31.62%,dem
98112,15057,4107705,1465726,181150,2444187,WA,47.6301,-122.2972,25426,2575,1036176,52.54%,36.83%,dem
94109,14944,4696319,2190523,295589,2158549,CA,37.7917,-122.4186,56677,18190,1079339,61.73%,31.62%,dem
95060,14902,1879098,703966,36071,1121667,CA,37.0313,-122.1198,47367,264,837381,61.73%,31.62%,dem
60614,14600,46035015,4394339,1269672,40320325,IL,41.9228,-87.65139,71308,8244.5,611423,55.83%,38.76%,dem
20015,14548,4961094,2268201,383141,2284997,DC,38.9658,-77.068,16395,1716.6,1020377,90.48%,4.07%,dem
92037,14482,5889757,2138213,881956,2837713,CA,32.8455,-117.2521,39724,1382.3,1227392,61.73%,31.62%,dem
30809,14468,673032,191602,112392,358173,GA,33.5412,-82.1398,45542,337.6,243480,45.64%,50.77%,rep
91320,14383,2058185,231897,66598,1757269,CA,34.1774,-118.9358,45520,937.3,663207,61.73%,31.62%,dem
94117,14334,2657766,1245734,29543,1365585,CA,37.7712,-122.4413,44239,8956.9,1309074,61.73%,31.62%,dem
97405,14174,1084510,507467,75411,488467,OR,44.0185,-123.0998,46270,113.4,297665,50.07%,39.09%,dem
90024,14000,14493281,2752589,725780,11001720,CA,34.0637,-118.4408,50288,6239.3,1150377,61.73%,31.62%,dem
90272,13985,8533867,2641157,690100,5186743,CA,34.0481,-118.5265,22551,388.7,2169032,61.73%,31.62%,dem
98115,13965,1862609,907527,46693,895068,WA,47.6849,-122.2968,53431,2708.9,697116,52.54%,36.83%,dem
30328,13760,2134963,190405,375474,1486016,GA,33.9335,-84.3958,37111,906.6,385518,45.64%,50.77%,rep
80524,13747,7518687,475652,62872,6968165,CO,40.5986,-105.0581,35753,96.6,370042,48.16%,43.25%,dem
90265,13688,5549985,928381,1301446,3284404,CA,34.0402,-118.7351,18389,64.9,1733879,61.73%,31.62%,dem
94708,13506,1845801,932786,7987,900063,CA,37.8918,-122.2604,11455,1250.5,1278816,61.73%,31.62%,dem
10012,13415,4400171,1475866,218071,2701194,NY,40.7255,-73.9983,23411,28771,1976351,59.01%,36.52%,dem
90046,13414,2748203,1465696,79251,1197228,CA,34.1074,-118.3652,50587,3242.8,949863,61.73%,31.62%,dem
2139,13402,1567447,812311,45981,683547,MA,42.36253,-71.10302,38272,9009.3,710620,60.01%,32.81%,dem
10065,13397,23255634,3701981,2782711,16752268,NY,40.7651,-73.9638,28109,32772.8,1257510,59.01%,36.52%,dem
94115,13385,8820117,2756853,779054,5266589,CA,37.7856,-122.4358,35004,11426.7,1306678,61.73%,31.62%,dem
20910,13352,10439554,917180,79301,9392173,MD,38.9982,-77.0338,42868,3180.8,539450,60.33%,33.91%,dem
95616,13320,1152355,598237,40614,498882,CA,38.5538,-121.7418,52088,658.9,628798,61.73%,31.62%,dem
87505,13318,2258882,894904,68891,1278583,NM,35.6219,-105.8688,30659,173,326517,48.26%,40.04%,dem
60035,13239,8630500,2221928,633049,5730503,IL,42.18371,-87.81056,29734,904.1,501485,55.83%,38.76%,dem
10016,13146,5725941,1984154,373323,3331701,NY,40.7443,-73.9781,51057,39315.3,820507,59.01%,36.52%,dem
98006,13099,1477088,369857,164119,912296,WA,47.5614,-122.1552,37769,1311.1,836328,52.54%,36.83%,dem
94610,13072,1536815,731139,122015,669196,CA,37.8126,-122.2443,31496,5182.2,944389,61.73%,31.62%,dem
10001,13020,8400756,1657392,167110,6550207,NY,40.7484,-73.9967,22924,13259.3,877838,59.01%,36.52%,dem
2116,12909,7450870,1951193,396212,5053542,MA,42.3506,-71.07566,23118,12631.6,1127634,60.01%,32.81%,dem
90064,12895,7716852,2447992,191100,5060243,CA,34.0353,-118.4259,25429,2445.3,1157091,61.73%,31.62%,dem
48104,12869,2574040,740319,571796,1229241,MI,42.2694,-83.7282,43233,1902,347279,47.27%,47.50%,rep
